0,Объявили вторую волну. Очень пугающую вторую волну. Ты купил туалетной бумаги?,5/5,"Отлично. Смерть неизбежна, но лучше встретить её с чистой задницей.",,0/0,Это зря. Из чего тогда делать костюм мумии?,,1
2,Ты примешь посылку из Китая?,5/-10,"Плохая идея. Чехол для айфона того не стоил: за окном уже маячат люди в костюмах химзащиты, и они идут по твою душу.",,-5/5,"Ну вот, теперь ты не будешь самым модным на деревне. Три месяца ожидания насмарку.",,1
3,Долго моешь руки?,10/10,"Молодец. Ковид может быть и придуман тайным мировым правительством, а вот понос - вещь вполне реальная.",,-10/-10,"Пока враги моют руки, ты тренируешься.",,1
4,"Ты очень любишь турецкие сериалы, рахат лукум и пахлаву. Друзья приглашают тебя сгонять к горячим арабам в Стамбул. Погоним?",15/-5,"Ты купил много дешёвой одежды, но красоваться в ней сможешь только внутри номера в гостинице: тебя посадили на карантин.",,-5/15,"Что ж, ничего, Эрдоган никуда не денется.",,1
5,"Твой партнер вчера ездил на работу на метро, а после был в баре полном людей. Вы всё ещё вместе?",10/10,"Что ж, любви все возрасты покорны. И все уровни IQ.",,-30/-10,"Слышал фразу ""пока смерть не разлучит вас""? Теперь у тебя новое погоняло. А что, ""Смерть"" звучит круто, можно поставить на никнейм в ВК.",,1
6,"Продавщица в маске коня потребовала, чтобы вы одели маску. Наденете?",-20/0,"Теперь если незаметно положить в карман баночку тушёночки, никто не сможет тебя опознать. Одни плюсы!",,15/-5,Ты отстоял свои права и одолел несчастную женщину. Доволен собой?,7,1
7,"Продавщица позвала администратора магазина без маски, который вызвал полицию. Дождёшься полиции?",-15/-10,Приехали полицейские и положили всех мордой в пол. Теперь ты сидишь в СИЗО.,8,10/10,"Я вижу, блатные песни тебе совсем не нравятся.",,0
8,"Всю жизнь у тебя был хороший вкус, который, как говорят, пропадает при коронавирусе. И вдруг включенная сокамерниками песня Моргенштерна тебе понравилась. Пойдешь сдавать тест на COVID, как тебя выпустят?",-10/5,"Если через семь лет ещё будут делать тесты на ковид, то лучше бы вообще не выходить.",,15/-10,Правильно. Это не по понятиям.,,0
10,Рядом с вашим домом какой-то депутат построил вышку 5g. Снесете неугодное строение посланников ада?,0/30,"Ну и правильно. Говорят, 5G-волны заставляют болезни в организме волноваться. Береженого бог бережет.",,-10/0,Здраво - теперь сериалы на карантине можно смотреть со скоростью 300к/сек!,,1
11,Ковид - это биологическое оружие США. Позвоним на Рен-ТВ чтобы дать экспертное мнение?,0/20,"Ваш спич стал 
гвоздем программы. Повышенный интерес прессы к вам не за горами!",,0/20,"Жаль, а слава была так близка.",,1
13,"У твоего партнера уехали родители на выходные, но добираться надо на маршрутке с тремя пересадками по пробкам. Поедешь?",30/-10,На тебя покашляла бабушка в автобусе. Все истории любви начинаются именно так.,,-10/15,Дома тоже хорошо. Но так одиноко. ,,1
